frame_idx,timestamp_sec,player_id,shot_type,confidence
11,0.44,14,FOREHAND,0.8
23,0.92,2,FOREHAND,0.8
321,12.84,2,SMASH/SERVE,0.382
353,14.12,2,SMASH/SERVE,0.527
446,17.84,1,FOREHAND,0.8
519,20.76,1,UNKNOWN,0.175
627,25.08,1,BACKHAND,0.8
664,26.56,1,BACKHAND,0.8
680,27.2,1,FOREHAND,0.8
801,32.04,1,BACKHAND,0.8
842,33.68,378,FOREHAND,0.8
899,35.96,378,FOREHAND,0.8
919,36.76,378,FOREHAND,0.8
1014,40.56,378,BACKHAND,0.8
1041,41.64,378,BACKHAND,0.8
1087,43.48,1,FOREHAND,0.8
1139,45.56,1,BACKHAND,0.8
1154,46.16,1,BACKHAND,0.8
1193,47.72,1,UNKNOWN,0.175
